"","cell","celltype"
"353","BC10_73","Tumor"
"354","BC10_80","Tumor"
"355","BC10_81","Tumor"
"356","BC10_85","Tumor"
"357","BC10_95","Tumor"
"358","BC02_02","Tumor"
"359","BC02_08","Tumor"
"360","BC02_09","Tumor"
"361","BC02_10","Tumor"
"362","BC02_11","Tumor"
"363","BC02_12","Tumor"
"364","BC02_13","Tumor"
"365","BC02_14","Tumor"
"366","BC02_15","Tumor"
"367","BC02_18","Tumor"
"368","BC02_19","Tumor"
"369","BC02_22","Tumor"
"370","BC02_24","Tumor"
"371","BC02_25","Tumor"
"372","BC02_26","Tumor"
"373","BC02_28","Tumor"
"374","BC02_31","Tumor"
"375","BC02_34","Tumor"
"376","BC02_44","Tumor"
"377","BC02_47","Tumor"
"378","BC02_50","Tumor"
"379","BC02_51","Tumor"
"380","BC02_53","Tumor"
"381","BC02_54","Tumor"
"382","BC02_55","Tumor"
"383","BC02_58","Tumor"
"384","BC02_59","Tumor"
"385","BC02_60","Tumor"
"386","BC02_61","Tumor"
"387","BC02_62","Tumor"
"388","BC02_63","Tumor"
"389","BC02_64","Tumor"
"390","BC02_66","Tumor"
"391","BC02_67","Tumor"
"392","BC02_68","Tumor"
"393","BC02_70","Tumor"
"394","BC02_71","Tumor"
"395","BC02_73","Tumor"
"396","BC02_74","Tumor"
"397","BC02_75","Tumor"
"398","BC02_76","Tumor"
"399","BC02_79","Tumor"
"400","BC02_81","Tumor"
"401","BC02_82","Tumor"
"402","BC02_83","Tumor"
"403","BC02_86","Tumor"
"404","BC02_88","Tumor"
"405","BC02_89","Tumor"
"406","BC02_90","Tumor"
"407","BC02_93","Tumor"
"408","BC02_94","Tumor"
"409","BC02_95","Tumor"
"410","BC02_96","Tumor"
"411","BC05_01","Tumor"
"412","BC05_02","Tumor"
"413","BC05_04","Tumor"
"414","BC05_07","Tumor"
"415","BC05_08","Tumor"
"416","BC05_09","Tumor"
"417","BC05_12","Tumor"
"418","BC05_13","Tumor"
"419","BC05_16","Tumor"
"420","BC05_17","Tumor"
"421","BC05_18","Tumor"
"422","BC05_20","Tumor"
"423","BC05_21","Tumor"
"424","BC05_22","Tumor"
"425","BC05_23","Tumor"
"426","BC05_25","Tumor"
"427","BC05_26","Tumor"
"428","BC05_27","Tumor"
"429","BC05_28","Tumor"
"430","BC05_29","Tumor"
"431","BC05_30","Tumor"
"432","BC05_31","Tumor"
"433","BC05_32","Tumor"
"434","BC05_33","Tumor"
"435","BC05_34","Tumor"
"436","BC05_35","Tumor"
"437","BC05_36","Tumor"
"438","BC05_37","Tumor"
"439","BC05_38","Tumor"
"440","BC05_39","Tumor"
"441","BC05_41","Tumor"
"442","BC05_42","Tumor"
"443","BC05_43","Tumor"
"444","BC05_44","Tumor"
"445","BC05_45","Tumor"
"446","BC05_46","Tumor"
"447","BC05_47","Tumor"
"448","BC05_48","Tumor"
"449","BC05_49","Tumor"
"450","BC05_50","Tumor"
