"","cell","x","y","celltype"
"572","C572",2412.29,2778.02,"Oligo"
"573","C573",2420.82,13925.17,"eL2_3"
"574","C574",2397.66,2046.53,"Oligo"
"575","C575",2402.78,10444.26,"eL4"
"576","C576",2418.95,242.26,"HPC"
"577","C577",2408.75,8214.04,"Endo"
"578","C578",2412.78,5548.69,"eL6"
"579","C579",2443.62,6426.23,"eL4"
"580","C580",2414.72,10221.44,"eL4"
"581","C581",2408.9,10968.04,"eL4"
"582","C582",2428.02,14179.22,"PVALB"
"583","C583",2441.07,56.39,"HPC"
"584","C584",2380.36,16644.2,"Smc"
"585","C585",2420.85,3704,"Oligo"
"586","C586",2440.56,4317.34,"Reln"
"587","C587",2438.07,5291.33,"eL6"
"588","C588",2432.75,7618.77,"eL6"
"589","C589",2449.34,11164.47,"eL4"
"590","C590",2467.93,13179.72,"eL2_3"
"591","C591",2468.53,3451.33,"Oligo"
"592","C592",2455.6,8670.48,"Astro"
"593","C593",2448.08,13629.57,"eL6"
"594","C594",2462.07,14579.2,"Reln"
"595","C595",2474.43,667.31,"HPC"
"596","C596",2468.51,1656.31,"Endo"
"597","C597",2454.96,2285.55,"HPC"
"598","C598",2495.09,848.25,"HPC"
"599","C599",2493.07,6684.72,"PVALB"
"600","C600",2506,3606.55,"Oligo"
"601","C601",2503.57,3858.41,"Oligo"
"602","C602",2487.26,11748.02,"eL4"
"603","C603",2473.72,14988.37,"eL2_3"
"604","C604",2499.45,1085.47,"HPC"
"605","C605",2505.19,3170.83,"Oligo"
"606","C606",2483.36,3971.56,"Oligo"
"607","C607",2513.47,12843.1,"eL4"
"608","C608",2512.7,9972,"PVALB"
"609","C609",2524.89,139.27,"HPC"
"610","C610",2531.12,4822.06,"Oligo"
"611","C611",2551.64,9372.88,"eL5"
"612","C612",2532.65,470.27,"HPC"
"613","C613",2545.28,10485.7,"eL4"
"614","C614",2535.61,7048.49,"eL6"
"615","C615",2554.19,11370.58,"Endo"
"616","C616",2563.76,16780.81,"Smc"
"617","C617",2578.16,5948.73,"Endo"
"618","C618",2554.87,8007.49,"Astro"
"619","C619",2552.99,11035.08,"eL4"
"620","C620",2557.14,11161.53,"eL4"
"621","C621",2578.18,12612.22,"Astro"
"622","C622",2548.64,16646.41,"Endo"
"623","C623",2572.67,11511.23,"eL2_3"
"624","C624",2591.09,3784.21,"Oligo"
"625","C625",2585.65,4340.6,"Reln"
"626","C626",2572.53,5163.83,"eL6"
"627","C627",2603.25,15646.61,"Endo"
"628","C628",2583.53,3319.51,"Oligo"
"629","C629",2609.61,4024.66,"Oligo"
"630","C630",2586.29,12311.49,"eL2_3"
"631","C631",2588.76,10931.86,"eL4"
"632","C632",2603.36,6492.25,"Oligo"
"633","C633",2605.16,14545.98,"eL2_3"
"634","C634",2623.99,14921.58,"eL2_3"
"635","C635",2625.79,277.89,"HPC"
"636","C636",2610.17,9513.3,"eL5"
"637","C637",2633.87,10818.9,"VIP"
"638","C638",2645.54,16669.44,"Smc"
"639","C639",2635.8,95.11,"HPC"
"640","C640",2622.77,1192.73,"HPC"
"641","C641",2608.02,4692,"Oligo"
"642","C642",2665.25,411.62,"HPC"
"643","C643",2638.88,6109.92,"eL6"
"644","C644",2632.48,1349.05,"HPC"
"645","C645",2645.66,7187.05,"eL6"
"646","C646",2644.15,11261.02,"eL4"
"647","C647",2643.62,14717.75,"eL2_3"
"648","C648",2616.2,5704.16,"Oligo"
"649","C649",2645.42,8468.12,"Astro"
"650","C650",2680.49,8053.58,"eL5"
"651","C651",2670.74,10592.66,"eL4"
"652","C652",2690.62,6349.63,"eL6"
"653","C653",2654.43,6875.36,"eL6"
"654","C654",2701.18,7638.34,"PVALB"
"655","C655",2659.25,8840.38,"Astro"
"656","C656",2684.62,14208.85,"eL2_3"
"657","C657",2701.2,3014.14,"Oligo"
"658","C658",2697.53,4461.36,"Astro"
"659","C659",2691.5,9275.29,"PVALB"
"660","C660",2724.27,5019.44,"Oligo"
"661","C661",2661,9114.8,"PVALB"
"662","C662",2720.82,13157.56,"eL2_3"
"663","C663",2740.93,15019.36,"eL2_3"
"664","C664",2763.3,15508,"Astro"
"665","C665",2749.35,148.54,"HPC"
"666","C666",2748.54,8983.78,"eL5"
"667","C667",2747.76,16946.17,"Smc"
"668","C668",2757.83,11753.52,"eL5"
"669","C669",2780.03,12662.17,"eL4"
"670","C670",2755.41,16763.1,"Smc"
"671","C671",2764.41,12929.13,"SST"
"672","C672",2768.88,14676.36,"eL2_3"
"673","C673",2747.51,611.34,"HPC"
"674","C674",2769.19,791.61,"HPC"
"675","C675",2780.54,1453.97,"HPC"
"676","C676",2794.53,6609.6,"eL6"
"677","C677",2772.6,6771.03,"Astro"
"678","C678",2789.86,9889.22,"eL5"
"679","C679",2759.25,16865.04,"Smc"
"680","C680",2772.11,12316.67,"eL4"
"681","C681",2760.63,3187.83,"Oligo"
"682","C682",2729.61,3537.51,"Oligo"
"683","C683",2787.38,4023.91,"Oligo"
"684","C684",2793.17,10658.47,"eL4"
"685","C685",2769.31,12064.63,"eL2_3"
"686","C686",2818.18,16547.69,"Astro"
"687","C687",2793.61,2585.98,"eL5"
"688","C688",2795.77,8578.33,"eL6"
"689","C689",2808.66,11134.04,"eL4"
"690","C690",2816.1,6002.94,"eL2_3"
"691","C691",2832.82,6267.06,"Astro"
"692","C692",2820.04,13350.69,"eL2_3"
"693","C693",2833.01,16268.67,"Micro"
"694","C694",2816.12,4506.28,"Oligo"
"695","C695",2835.94,11665.8,"Endo"
"696","C696",2858.17,217.54,"Reln"
"697","C697",2838.92,5869.13,"eL6"
"698","C698",2814.01,10378.16,"eL2_3"
"699","C699",2852.97,13119.87,"Astro"
"700","C700",2844.88,1184.42,"HPC"
"701","C701",2821.88,5609.14,"eL6"
"702","C702",2831.21,5720.9,"eL6"
"703","C703",2833.48,9342.58,"eL6"
"704","C704",2838.31,4739.3,"eL6"
"705","C705",2824.4,8318.07,"Astro"
"706","C706",2858.59,3603.17,"Oligo"
"707","C707",2848.52,8714.51,"Astro"
"708","C708",2843.82,402.65,"HPC"
"709","C709",2858.14,5497.97,"eL6"
"710","C710",2868.73,16965.81,"Smc"
"711","C711",2849.64,5297.64,"eL6"
"712","C712",2851.61,11336.49,"Endo"
"713","C713",2875.44,13601.1,"eL2_3"
"714","C714",2893.74,536.87,"HPC"
"715","C715",2901.23,685.08,"Astro"
"716","C716",2878.51,7289.24,"Oligo"
"717","C717",2915.18,9101.25,"Astro"
"718","C718",2899.43,10597.22,"eL4"
"719","C719",2898.62,15331.02,"eL2_3"
"720","C720",2909.29,12337.25,"eL2_3"
"721","C721",2904.77,4972.72,"eL6"
"722","C722",2915.7,8496.28,"SST"
"723","C723",2916.44,11254.88,"eL5"
"724","C724",2907.45,4078.65,"Micro"
"725","C725",2924.34,8891.4,"eL5"
"726","C726",2938.91,11507.12,"eL4"
"727","C727",2948.58,9419.12,"eL5"
"728","C728",2950.92,14806.76,"eL2_3"
"729","C729",2910.69,2760.47,"Endo"
"730","C730",2957.87,5425.37,"eL6"
"731","C731",2949.83,9943.56,"Micro"
"732","C732",2964.63,7224.47,"eL6"
"733","C733",2981.43,4231.64,"Oligo"
"734","C734",2988.47,12796.86,"eL4"
"735","C735",3002.93,4851.47,"eL6"
"736","C736",2983.45,5126.38,"eL6"
"737","C737",2976.32,3943.23,"Oligo"
"738","C738",2996.91,6772.64,"eL6"
"739","C739",3009.12,9023.1,"eL5"
"740","C740",2993.9,10494.79,"Endo"
"741","C741",3032.37,16998.7,"Smc"
"742","C742",2991.59,12460.9,"eL2_3"
"743","C743",2999.45,14412.08,"Smc"
"744","C744",3009.33,355.34,"HPC"
"745","C745",3002.96,3339.43,"Oligo"
"746","C746",3005.3,13859.66,"eL2_3"
"747","C747",3010.55,922.16,"HPC"
"748","C748",2989.16,5631.18,"eL6"
"749","C749",3010.6,11874.84,"eL4"
"750","C750",3017.04,14549.68,"Oligo"
"751","C751",3028.01,12151.39,"eL2_3"
"752","C752",3039.12,11336.02,"eL4"
"753","C753",3018.54,3713.55,"Oligo"
"754","C754",3081.72,6043.04,"Astro"
"755","C755",3025.07,11161.23,"eL4"
"756","C756",3068.51,4087.96,"Oligo"
"757","C757",3021.38,13374.9,"eL2_3"
"758","C758",3065,3555.91,"eL6"
"759","C759",3050.65,4678.93,"Astro"
"760","C760",3092.84,7127.28,"eL6"
"761","C761",3047.23,10188.64,"eL4"
"762","C762",3043.27,10812.21,"eL4"
"763","C763",3053.25,5274.29,"eL6"
"764","C764",3008.12,8212.28,"Astro"
"765","C765",3052.59,15254.17,"eL2_3"
"766","C766",3057.87,6365.27,"eL6"
"767","C767",3076.64,8438.22,"PVALB"
"768","C768",3075.11,14251.62,"Micro"
